my,opp,n,wins,wr,ci_lo,ci_hi
Pinsir,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Pinsir,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Pinsir,1,1,100.0,20.7,100.0
Decidueye ex,Team Rocket's Mewtwo ex,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Decidueye ex,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Greninja ex,1,0,0.0,0.0,79.3
Greninja ex,Team Rocket's Honchkrow,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Genesect ex,1,0,0.0,0.0,79.3
Genesect ex,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Mega Eelektross ex,Crustle,1,0,0.0,0.0,79.3
Crustle,Mega Eelektross ex,1,1,100.0,20.7,100.0
Mega Heracross ex,Iono’s Bellibolt ex,1,0,0.0,0.0,79.3
Iono’s Bellibolt ex,Mega Heracross ex,1,1,100.0,20.7,100.0
Pinsir,Walrein,1,0,0.0,0.0,79.3
Walrein,Pinsir,1,1,100.0,20.7,100.0
Team Rocket's Mewtwo ex,Koraidon ex,1,0,0.0,0.0,79.3
Koraidon ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Wailord,Hop’s Snorlax,1,0,0.0,0.0,79.3
Hop’s Snorlax,Wailord,1,1,100.0,20.7,100.0
Mega Lucario ex,Team Rocket's Spidops,1,1,100.0,20.7,100.0
Team Rocket's Spidops,Mega Lucario ex,1,0,0.0,0.0,79.3
Dragapult ex,Beartic,1,0,0.0,0.0,79.3
Beartic,Dragapult ex,1,1,100.0,20.7,100.0
Iron Thorns ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Iron Thorns ex,1,1,100.0,20.7,100.0
Mismagius ex,Alakazam,1,1,100.0,20.7,100.0
Alakazam,Mismagius ex,1,0,0.0,0.0,79.3
Hop’s Snorlax,Ninetales,1,0,0.0,0.0,79.3
Ninetales,Hop’s Snorlax,1,1,100.0,20.7,100.0
Dragapult ex,Tyranitar,1,1,100.0,20.7,100.0
Tyranitar,Dragapult ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Mega Latias ex,1,1,100.0,20.7,100.0
Mega Latias ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Marnie's Grimmsnarl ex,Okidogi ex,1,0,0.0,0.0,79.3
Okidogi ex,Marnie's Grimmsnarl ex,1,1,100.0,20.7,100.0
Team Rocket's Crobat ex,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Team Rocket's Crobat ex,1,1,100.0,20.7,100.0
Wailord,Iono’s Bellibolt ex,1,1,100.0,20.7,100.0
Iono’s Bellibolt ex,Wailord,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Mega Charizard X ex,1,1,100.0,20.7,100.0
Mega Charizard X ex,Mega Gardevoir ex,1,0,0.0,0.0,79.3
Kyurem,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Kyurem,1,1,100.0,20.7,100.0
Mega Lucario ex,Mega Latias ex,1,1,100.0,20.7,100.0
Mega Latias ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Greninja ex,Crustle,1,0,0.0,0.0,79.3
Crustle,Greninja ex,1,1,100.0,20.7,100.0
Dragapult ex,Lilligant,1,1,100.0,20.7,100.0
Lilligant,Dragapult ex,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Hydreigon ex,1,1,100.0,20.7,100.0
Hydreigon ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Hydreigon ex,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Cornerstone Mask Ogerpon ex,Hydreigon ex,1,0,0.0,0.0,79.3
Mega Froslass ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Mega Froslass ex,1,1,100.0,20.7,100.0
Mega Venusaur ex,Hop’s Snorlax,1,1,100.0,20.7,100.0
Hop’s Snorlax,Mega Venusaur ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Empoleon ex,1,1,100.0,20.7,100.0
Empoleon ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Hop’s Snorlax,Dudunsparce ex,1,1,100.0,20.7,100.0
Dudunsparce ex,Hop’s Snorlax,1,0,0.0,0.0,79.3
Mega Lucario ex,Luxray ex,1,1,100.0,20.7,100.0
Luxray ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Dragapult ex,Carracosta,1,1,100.0,20.7,100.0
Carracosta,Dragapult ex,1,0,0.0,0.0,79.3
Luxray ex,Raging Bolt ex,1,1,100.0,20.7,100.0
Raging Bolt ex,Luxray ex,1,0,0.0,0.0,79.3
Dragapult ex,Steven's Metagross ex,1,1,100.0,20.7,100.0
Steven's Metagross ex,Dragapult ex,1,0,0.0,0.0,79.3
Alakazam,Terapagos ex,1,1,100.0,20.7,100.0
Terapagos ex,Alakazam,1,0,0.0,0.0,79.3
Wailord,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Wailord,1,0,0.0,0.0,79.3
Pinsir,Hop’s Snorlax,1,0,0.0,0.0,79.3
Hop’s Snorlax,Pinsir,1,1,100.0,20.7,100.0
Okidogi ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Okidogi ex,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Ceruledge ex,1,1,100.0,20.7,100.0
Ceruledge ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Raging Bolt ex,Ceruledge ex,1,0,0.0,0.0,79.3
Ceruledge ex,Raging Bolt ex,1,1,100.0,20.7,100.0
Alakazam,Pinsir,1,0,0.0,0.0,79.3
Pinsir,Alakazam,1,1,100.0,20.7,100.0
Thwackey,Hydreigon ex,1,0,0.0,0.0,79.3
Hydreigon ex,Thwackey,1,1,100.0,20.7,100.0
Hop’s Zacian ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Hop’s Zacian ex,1,1,100.0,20.7,100.0
Terapagos ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Terapagos ex,1,1,100.0,20.7,100.0
Dragapult ex,Mismagius ex,1,1,100.0,20.7,100.0
Mismagius ex,Dragapult ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Mega Clefable ex,1,1,100.0,20.7,100.0
Mega Clefable ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Greninja ex,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Greninja ex,1,0,0.0,0.0,79.3
Genesect ex,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Genesect ex,1,1,100.0,20.7,100.0
Mega Starmie ex,Miraidon ex,1,0,0.0,0.0,79.3
Miraidon ex,Mega Starmie ex,1,1,100.0,20.7,100.0
Archaludon ex,Mega Gengar ex,1,0,0.0,0.0,79.3
Mega Gengar ex,Archaludon ex,1,1,100.0,20.7,100.0
Walrein,Hydrapple ex,1,0,0.0,0.0,79.3
Hydrapple ex,Walrein,1,1,100.0,20.7,100.0
Mega Venusaur ex,Iono’s Bellibolt ex,1,1,100.0,20.7,100.0
Iono’s Bellibolt ex,Mega Venusaur ex,1,0,0.0,0.0,79.3
Mega Manectric ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Mega Manectric ex,1,1,100.0,20.7,100.0
Okidogi ex,Dragapult ex,1,1,100.0,20.7,100.0
Dragapult ex,Okidogi ex,1,0,0.0,0.0,79.3
Bloodmoon Ursaluna ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Bloodmoon Ursaluna ex,1,1,100.0,20.7,100.0
Ceruledge ex,Mega Starmie ex,1,1,100.0,20.7,100.0
Mega Starmie ex,Ceruledge ex,1,0,0.0,0.0,79.3
Crustle,Mismagius ex,1,1,100.0,20.7,100.0
Mismagius ex,Crustle,1,0,0.0,0.0,79.3
Arboliva ex,Iron Thorns ex,1,1,100.0,20.7,100.0
Iron Thorns ex,Arboliva ex,1,0,0.0,0.0,79.3
Genesect ex,Thwackey,1,1,100.0,20.7,100.0
Thwackey,Genesect ex,1,0,0.0,0.0,79.3
Raging Bolt ex,Miraidon ex,1,1,100.0,20.7,100.0
Miraidon ex,Raging Bolt ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Wailord,1,0,0.0,0.0,79.3
Wailord,Mega Lucario ex,1,1,100.0,20.7,100.0
Team Rocket's Spidops,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Cornerstone Mask Ogerpon ex,Team Rocket's Spidops,1,0,0.0,0.0,79.3
Mega Charizard X ex,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Mega Charizard X ex,1,1,100.0,20.7,100.0
Miraidon ex,Mega Venusaur ex,1,0,0.0,0.0,79.3
Mega Venusaur ex,Miraidon ex,1,1,100.0,20.7,100.0
Alakazam,Koraidon ex,1,1,100.0,20.7,100.0
Koraidon ex,Alakazam,1,0,0.0,0.0,79.3
Reshiram,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Reshiram,1,1,100.0,20.7,100.0
Hop’s Snorlax,Mega Heracross ex,1,0,0.0,0.0,79.3
Mega Heracross ex,Hop’s Snorlax,1,1,100.0,20.7,100.0
Lilligant,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Lilligant,1,1,100.0,20.7,100.0
Lilligant,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Lilligant,1,1,100.0,20.7,100.0
Alakazam,Mega Gengar ex,1,1,100.0,20.7,100.0
Mega Gengar ex,Alakazam,1,0,0.0,0.0,79.3
Ceruledge ex,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Ceruledge ex,1,1,100.0,20.7,100.0
Vaporeon ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Vaporeon ex,1,1,100.0,20.7,100.0
Kyurem,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Kyurem,1,1,100.0,20.7,100.0
Crustle,Mega Latias ex,1,1,100.0,20.7,100.0
Mega Latias ex,Crustle,1,0,0.0,0.0,79.3
Hydrapple ex,Mega Meganium ex,1,1,100.0,20.7,100.0
Mega Meganium ex,Hydrapple ex,1,0,0.0,0.0,79.3
Hop’s Snorlax,Miraidon ex,1,1,100.0,20.7,100.0
Miraidon ex,Hop’s Snorlax,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Bloodmoon Ursaluna ex,1,1,100.0,20.7,100.0
Bloodmoon Ursaluna ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Mega Meganium ex,1,1,100.0,20.7,100.0
Mega Meganium ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Sharpedo ex,Mega Starmie ex,1,1,100.0,20.7,100.0
Mega Starmie ex,Mega Sharpedo ex,1,0,0.0,0.0,79.3
Team Rocket's Spidops,Mega Sharpedo ex,1,1,100.0,20.7,100.0
Mega Sharpedo ex,Team Rocket's Spidops,1,0,0.0,0.0,79.3
Alakazam,Greninja ex,1,1,100.0,20.7,100.0
Greninja ex,Alakazam,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Mega Meganium ex,1,0,0.0,0.0,79.3
Mega Meganium ex,Mega Gardevoir ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Hop's Trevenant,1,1,100.0,20.7,100.0
Hop's Trevenant,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Okidogi ex,1,1,100.0,20.7,100.0
Okidogi ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Wailord,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Wailord,1,1,100.0,20.7,100.0
Crustle,Kadabra,1,1,100.0,20.7,100.0
Kadabra,Crustle,1,0,0.0,0.0,79.3
Iron Thorns ex,Mega Froslass ex,1,0,0.0,0.0,79.3
Mega Froslass ex,Iron Thorns ex,1,1,100.0,20.7,100.0
Pinsir,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Pinsir,1,1,100.0,20.7,100.0
Hop’s Snorlax,Beartic,1,1,100.0,20.7,100.0
Beartic,Hop’s Snorlax,1,0,0.0,0.0,79.3
Mega Froslass ex,Thwackey,1,1,100.0,20.7,100.0
Thwackey,Mega Froslass ex,1,0,0.0,0.0,79.3
Alakazam,Dudunsparce ex,1,1,100.0,20.7,100.0
Dudunsparce ex,Alakazam,1,0,0.0,0.0,79.3
Team Rocket's Spidops,Dragapult ex,1,1,100.0,20.7,100.0
Dragapult ex,Team Rocket's Spidops,1,0,0.0,0.0,79.3
Zacian ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Zacian ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Walrein,1,0,0.0,0.0,79.3
Walrein,Mega Abomasnow ex,1,1,100.0,20.7,100.0
0,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,0,1,1,100.0,20.7,100.0
Crustle,Beartic,1,0,0.0,0.0,79.3
Beartic,Crustle,1,1,100.0,20.7,100.0
Ethan's Typhlosion,N’s Zoroark ex,1,1,100.0,20.7,100.0
N’s Zoroark ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Crustle,0,1,1,100.0,20.7,100.0
0,Crustle,1,0,0.0,0.0,79.3
Centiskorch,Mismagius ex,1,1,100.0,20.7,100.0
Mismagius ex,Centiskorch,1,0,0.0,0.0,79.3
Mega Eelektross ex,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Mega Eelektross ex,1,0,0.0,0.0,79.3
Mega Eelektross ex,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Mega Eelektross ex,1,0,0.0,0.0,79.3
Hop’s Snorlax,Mega Charizard X ex,1,1,100.0,20.7,100.0
Mega Charizard X ex,Hop’s Snorlax,1,0,0.0,0.0,79.3
Mega Starmie ex,Mismagius ex,1,1,100.0,20.7,100.0
Mismagius ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Mismagius ex,1,0,0.0,0.0,79.3
Mismagius ex,Mega Abomasnow ex,1,1,100.0,20.7,100.0
Mega Abomasnow ex,Zacian ex,1,1,100.0,20.7,100.0
Zacian ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Mega Gengar ex,1,1,100.0,20.7,100.0
Mega Gengar ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Ninetales,Crustle,1,0,0.0,0.0,79.3
Crustle,Ninetales,1,1,100.0,20.7,100.0
Mega Gardevoir ex,Mega Froslass ex,1,0,0.0,0.0,79.3
Mega Froslass ex,Mega Gardevoir ex,1,1,100.0,20.7,100.0
Lillie’s Clefairy ex,Iono’s Bellibolt ex,1,1,100.0,20.7,100.0
Iono’s Bellibolt ex,Lillie’s Clefairy ex,1,0,0.0,0.0,79.3
Lillie’s Clefairy ex,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Lillie’s Clefairy ex,1,0,0.0,0.0,79.3
Walrein,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Walrein,1,0,0.0,0.0,79.3
Walrein,Team Rocket's Honchkrow,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Walrein,1,0,0.0,0.0,79.3
Walrein,Lillie’s Clefairy ex,1,0,0.0,0.0,79.3
Lillie’s Clefairy ex,Walrein,1,1,100.0,20.7,100.0
Archaludon ex,Lillie’s Clefairy ex,1,1,100.0,20.7,100.0
Lillie’s Clefairy ex,Archaludon ex,1,0,0.0,0.0,79.3
Cornerstone Mask Ogerpon ex,Pikachu ex,1,1,100.0,20.7,100.0
Pikachu ex,Cornerstone Mask Ogerpon ex,1,0,0.0,0.0,79.3
Mega Zygarde ex,Thwackey,1,1,100.0,20.7,100.0
Thwackey,Mega Zygarde ex,1,0,0.0,0.0,79.3
Lillie’s Clefairy ex,Mega Zygarde ex,1,0,0.0,0.0,79.3
Mega Zygarde ex,Lillie’s Clefairy ex,1,1,100.0,20.7,100.0
Cubchoo,Mega Froslass ex,1,1,100.0,20.7,100.0
Mega Froslass ex,Cubchoo,1,0,0.0,0.0,79.3
Pikachu ex,Mega Froslass ex,1,0,0.0,0.0,79.3
Mega Froslass ex,Pikachu ex,1,1,100.0,20.7,100.0
Pikachu ex,Chandelure,1,1,100.0,20.7,100.0
Chandelure,Pikachu ex,1,0,0.0,0.0,79.3
Pikachu ex,Thwackey,1,0,0.0,0.0,79.3
Thwackey,Pikachu ex,1,1,100.0,20.7,100.0
Pikachu ex,Hydrapple ex,1,1,100.0,20.7,100.0
Hydrapple ex,Pikachu ex,1,0,0.0,0.0,79.3
Walrein,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Walrein,1,1,100.0,20.7,100.0
Raging Bolt ex,Mega Lopunny ex,1,1,100.0,20.7,100.0
Mega Lopunny ex,Raging Bolt ex,1,0,0.0,0.0,79.3
Mega Diancie ex,Crustle,1,0,0.0,0.0,79.3
Crustle,Mega Diancie ex,1,1,100.0,20.7,100.0
Mega Diancie ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Mega Diancie ex,1,1,100.0,20.7,100.0
Hop's Trevenant,Seaking,1,1,100.0,20.7,100.0
Seaking,Hop's Trevenant,1,0,0.0,0.0,79.3
Mega Abomasnow ex,Mega Diancie ex,1,1,100.0,20.7,100.0
Mega Diancie ex,Mega Abomasnow ex,1,0,0.0,0.0,79.3
Cubchoo,Hop's Trevenant,1,0,0.0,0.0,79.3
Hop's Trevenant,Cubchoo,1,1,100.0,20.7,100.0
Team Rocket's Mewtwo ex,Mega Diancie ex,1,0,0.0,0.0,79.3
Mega Diancie ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Okidogi,Jellicent ex,1,0,0.0,0.0,79.3
Jellicent ex,Okidogi,1,1,100.0,20.7,100.0
Alakazam,Jellicent ex,1,1,100.0,20.7,100.0
Jellicent ex,Alakazam,1,0,0.0,0.0,79.3
Okidogi ex,Team Rocket's Mewtwo ex,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Okidogi ex,1,1,100.0,20.7,100.0
Okidogi ex,Hop’s Snorlax,1,1,100.0,20.7,100.0
Hop’s Snorlax,Okidogi ex,1,0,0.0,0.0,79.3
Sylveon,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Sylveon,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Fezandipiti ex,1,1,100.0,20.7,100.0
Fezandipiti ex,Team Rocket's Mewtwo ex,1,0,0.0,0.0,79.3
Fezandipiti ex,Chandelure,1,1,100.0,20.7,100.0
Chandelure,Fezandipiti ex,1,0,0.0,0.0,79.3
Cubchoo,Fezandipiti ex,1,1,100.0,20.7,100.0
Fezandipiti ex,Cubchoo,1,0,0.0,0.0,79.3
Cubchoo,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Cubchoo,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Shaymin,1,1,100.0,20.7,100.0
Shaymin,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Shaymin,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Shaymin,1,1,100.0,20.7,100.0
Team Rocket's Mewtwo ex,Shaymin,1,1,100.0,20.7,100.0
Shaymin,Team Rocket's Mewtwo ex,1,0,0.0,0.0,79.3
Shaymin,Yveltal,1,1,100.0,20.7,100.0
Yveltal,Shaymin,1,0,0.0,0.0,79.3
Team Rocket's Honchkrow,Yveltal,1,1,100.0,20.7,100.0
Yveltal,Team Rocket's Honchkrow,1,0,0.0,0.0,79.3
Team Rocket's Articuno,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Team Rocket's Articuno,1,1,100.0,20.7,100.0
Dragapult ex,Comfey,1,0,0.0,0.0,79.3
Comfey,Dragapult ex,1,1,100.0,20.7,100.0
Mega Lopunny ex,Comfey,1,0,0.0,0.0,79.3
Comfey,Mega Lopunny ex,1,1,100.0,20.7,100.0
Comfey,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Comfey,1,0,0.0,0.0,79.3
Cubchoo,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Cornerstone Mask Ogerpon ex,Cubchoo,1,0,0.0,0.0,79.3
N’s Zoroark ex,Chandelure,1,1,100.0,20.7,100.0
Chandelure,N’s Zoroark ex,1,0,0.0,0.0,79.3
N’s Zoroark ex,Crustle,1,1,100.0,20.7,100.0
Crustle,N’s Zoroark ex,1,0,0.0,0.0,79.3
Brambleghast,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Brambleghast,1,0,0.0,0.0,79.3
Cornerstone Mask Ogerpon ex,Team Rocket's Honchkrow,1,0,0.0,0.0,79.3
Team Rocket's Honchkrow,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Mega Froslass ex,Brambleghast,1,0,0.0,0.0,79.3
Brambleghast,Mega Froslass ex,1,1,100.0,20.7,100.0
Team Rocket's Honchkrow,Brambleghast,1,0,0.0,0.0,79.3
Brambleghast,Team Rocket's Honchkrow,1,1,100.0,20.7,100.0
Hop’s Snorlax,Brambleghast,1,0,0.0,0.0,79.3
Brambleghast,Hop’s Snorlax,1,1,100.0,20.7,100.0
Archaludon ex,Mega Gardevoir ex,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Archaludon ex,1,1,100.0,20.7,100.0
Brambleghast,Mega Gardevoir ex,1,1,100.0,20.7,100.0
Mega Gardevoir ex,Brambleghast,1,0,0.0,0.0,79.3
Cinderace,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Cinderace,1,0,0.0,0.0,79.3
Cinderace,Thwackey,1,0,0.0,0.0,79.3
Thwackey,Cinderace,1,1,100.0,20.7,100.0
N’s Zoroark ex,Mega Sharpedo ex,1,1,100.0,20.7,100.0
Mega Sharpedo ex,N’s Zoroark ex,1,0,0.0,0.0,79.3
Ho-Oh,Alakazam,1,1,100.0,20.7,100.0
Alakazam,Ho-Oh,1,0,0.0,0.0,79.3
Ho-Oh,Marnie's Grimmsnarl ex,1,0,0.0,0.0,79.3
Marnie's Grimmsnarl ex,Ho-Oh,1,1,100.0,20.7,100.0
Mega Sharpedo ex,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Cornerstone Mask Ogerpon ex,Mega Sharpedo ex,1,0,0.0,0.0,79.3
Team Rocket's Articuno,Team Rocket's Mewtwo ex,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Team Rocket's Articuno,1,1,100.0,20.7,100.0
Mega Gengar ex,Marnie's Grimmsnarl ex,1,1,100.0,20.7,100.0
Marnie's Grimmsnarl ex,Mega Gengar ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Jellicent ex,1,1,100.0,20.7,100.0
Jellicent ex,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Mega Venusaur ex,Cornerstone Mask Ogerpon ex,1,0,0.0,0.0,79.3
Cornerstone Mask Ogerpon ex,Mega Venusaur ex,1,1,100.0,20.7,100.0
Arboliva ex,Cornerstone Mask Ogerpon ex,1,0,0.0,0.0,79.3
Cornerstone Mask Ogerpon ex,Arboliva ex,1,1,100.0,20.7,100.0
Wellspring Mask Ogerpon ex,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Wellspring Mask Ogerpon ex,1,1,100.0,20.7,100.0
Wellspring Mask Ogerpon ex,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Wellspring Mask Ogerpon ex,1,0,0.0,0.0,79.3
Seaking,Arboliva ex,1,0,0.0,0.0,79.3
Arboliva ex,Seaking,1,1,100.0,20.7,100.0
Arboliva ex,N’s Zoroark ex,1,1,100.0,20.7,100.0
N’s Zoroark ex,Arboliva ex,1,0,0.0,0.0,79.3
Mega Venusaur ex,Seaking,1,1,100.0,20.7,100.0
Seaking,Mega Venusaur ex,1,0,0.0,0.0,79.3
Hydrapple ex,Chandelure,1,1,100.0,20.7,100.0
Chandelure,Hydrapple ex,1,0,0.0,0.0,79.3
Latias ex,Mega Kangaskhan ex,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Latias ex,1,0,0.0,0.0,79.3
Hydrapple ex,Latias ex,1,1,100.0,20.7,100.0
Latias ex,Hydrapple ex,1,0,0.0,0.0,79.3
Latias ex,Mega Venusaur ex,1,1,100.0,20.7,100.0
Mega Venusaur ex,Latias ex,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Latias ex,1,0,0.0,0.0,79.3
Latias ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Latias ex,Cynthia's Garchomp ex,1,0,0.0,0.0,79.3
Cynthia's Garchomp ex,Latias ex,1,1,100.0,20.7,100.0
Alakazam,Paldean Tauros,1,0,0.0,0.0,79.3
Paldean Tauros,Alakazam,1,1,100.0,20.7,100.0
Marnie's Grimmsnarl ex,Paldean Tauros,1,1,100.0,20.7,100.0
Paldean Tauros,Marnie's Grimmsnarl ex,1,0,0.0,0.0,79.3
Xerneas,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Xerneas,1,1,100.0,20.7,100.0
